"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.188967705E-3,4.132345019E1,1.976067272E1,1.121531082E2,1.525795062E2,NaN,NaN,1.347885454E-3,2.039501400E1,3.019232137E1,-1.000000000E0
4.248976707E-3,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
4.310798645E-2,4.132345680E1,1.976068625E1,1.126397343E2,1.530662335E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000028116E1,-1.000000000E0
6.012960076E0,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
2.101995301E1,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
3.602543104E1,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
5.103072298E1,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
6.603621006E1,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
8.104122508E1,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
9.604670608E1,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
1.110509850E2,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
1.260563700E2,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
1.410618480E2,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
1.560674291E2,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
1.710698080E2,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
1.860754950E2,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
2.010810320E2,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,1.347885454E-3,5.000000000E0,3.000000000E1,-1.000000000E0
2.160854701E2,4.132345680E1,1.976068625E1,1.126995145E2,1.531260136E2,NaN,NaN,2.674491258E-3,5.000000000E0,3.000000000E1,-1.000000000E0
2.310867110E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674501575E-3,4.999085522E0,3.000000000E1,-1.000000000E0
2.460911020E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674510753E-3,4.851900404E0,3.000000000E1,-1.000000000E0
2.610965880E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674518972E-3,4.717221647E0,3.000000000E1,-1.000000000E0
2.761020690E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674526374E-3,4.593400296E0,3.000000000E1,-1.000000000E0
2.911032190E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674530098E-3,4.479068622E0,3.000000000E1,-1.000000000E0
3.000799561E2,4.132345085E1,1.976067248E1,1.126397343E2,1.530661337E2,NaN,NaN,2.674536849E-3,4.479958931E0,3.305554957E1,-1.000000000E0
3.061090350E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674542989E-3,4.372005239E0,3.000000000E1,-1.000000000E0
3.211344240E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674548601E-3,4.273502289E0,3.000000000E1,-1.000000000E0
3.361398060E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674553749E-3,4.181583831E0,3.000000000E1,-1.000000000E0
3.511452260E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674558488E-3,4.095560891E0,3.000000000E1,-1.000000000E0
3.661508100E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674562865E-3,4.014829263E0,3.000000000E1,-1.000000000E0
3.811563131E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674566922E-3,3.938890457E0,3.000000000E1,-1.000000000E0
3.961619880E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674570691E-3,3.867300004E0,3.000000000E1,-1.000000000E0
4.111674210E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674574202E-3,3.799669031E0,3.000000000E1,-1.000000000E0
4.261731601E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674577482E-3,3.735656119E0,3.000000000E1,-1.000000000E0
4.411785830E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674580553E-3,3.674959528E0,3.000000000E1,-1.000000000E0
4.561821620E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674583434E-3,3.617311435E0,3.000000000E1,-1.000000000E0
4.711830840E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674586142E-3,3.562475184E0,3.000000000E1,-1.000000000E0
4.861853100E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674588693E-3,3.510222469E0,3.000000000E1,-1.000000000E0
5.011895190E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,2.674591100E-3,3.460377480E0,3.000000000E1,-1.000000000E0
5.161947440E2,4.132345085E1,1.976067248E1,1.126995145E2,1.531259139E2,NaN,NaN,"",3.412768815E0,3.000000000E1,-1.000000000E0
