"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.637956619E-3,4.132345680E1,1.976068625E1,1.112248164E2,1.516513156E2,NaN,NaN,0.000000000E0,5.000000000E0,3.000000000E1,-1.000000000E0
6.929039955E-3,4.132345680E1,1.976068625E1,1.115731401E2,1.519996393E2,NaN,NaN,0.000000000E0,5.000000000E0,3.000000000E1,-1.000000000E0
5.466496944E-2,4.132345680E1,1.976068625E1,1.115621996E2,1.519886987E2,NaN,NaN,0.000000000E0,5.000000000E0,3.000029420E1,-1.000000000E0
1.322527051E0,4.132345680E1,1.976068625E1,1.114165105E2,1.518430097E2,NaN,NaN,5.503279895E-3,5.000000000E0,3.000000000E1,-1.000000000E0
2.153969884E0,4.132342243E1,1.976063883E1,1.119854012E2,1.524115002E2,8.299999833E-1,2.376562500E2,6.908345422E-3,1.644349065E1,2.400000000E1,-1.000000000E0
2.878912091E0,4.132341530E1,1.976062494E1,1.117275887E2,1.521535825E2,8.299999833E-1,NaN,1.024858974E-2,1.513152467E1,2.400000000E1,-1.000000000E0
3.882964015E0,4.132342513E1,1.976066274E1,1.101015511E2,1.505277922E2,8.299999833E-1,5.203125000E1,1.595572434E-2,1.235445767E1,3.000000000E0,-1.000000000E0
4.884571910E0,4.132347414E1,1.976064247E1,1.109197884E2,1.513461180E2,8.299999833E-1,5.203125000E1,1.967179598E-2,1.257529122E1,3.000000000E0,-1.000000000E0
5.885278106E0,4.132344275E1,1.976062719E1,1.115527229E2,1.519788409E2,1.599999964E-1,5.203125000E1,2.240192629E-2,9.105714796E0,3.000000000E0,-1.000000000E0
6.884120107E0,4.132344440E1,1.976059457E1,1.084936409E2,1.489195866E2,3.700000048E-1,5.203125000E1,2.622461130E-2,9.080307716E0,3.000000000E0,-1.000000000E0
7.884486079E0,4.132347573E1,1.976061341E1,1.095076790E2,1.499338557E2,0.000000000E0,5.203125000E1,2.854214367E-2,8.814530815E0,3.000000000E0,-1.000000000E0
8.884878039E0,4.132348178E1,1.976058686E1,1.095076790E2,1.499337347E2,0.000000000E0,5.203125000E1,2.906934938E-2,6.340459925E0,3.000000000E0,-1.000000000E0
9.885464072E0,4.132348316E1,1.976058081E1,1.095076790E2,1.499337072E2,0.000000000E0,5.203125000E1,3.015685307E-2,5.646310658E0,3.000000000E0,-1.000000000E0
1.088508093E1,4.132347499E1,1.976058798E1,1.022512093E2,1.426772435E2,0.000000000E0,5.203125000E1,3.434401382E-2,5.253271560E0,3.000000000E0,-1.000000000E0
1.209810007E1,4.132344354E1,1.976061556E1,1.022512093E2,1.426772666E2,0.000000000E0,5.203125000E1,3.466970710E-2,3.191732146E0,3.000000000E0,-1.000000000E0
1.309252298E1,4.132344121E1,1.976061790E1,1.022512093E2,1.426772700E2,0.000000000E0,5.203125000E1,3.467030210E-2,2.966369131E0,3.000000000E0,-1.000000000E0
1.410021007E1,4.132344120E1,1.976061791E1,1.022512093E2,1.426772700E2,0.000000000E0,5.203125000E1,3.526665765E-2,2.966601079E0,3.000000000E0,-1.000000000E0
1.509321344E1,4.132343669E1,1.976062178E1,1.022512093E2,1.426772729E2,0.000000000E0,NaN,3.526665957E-2,2.516484595E0,4.029364438E0,-1.000000000E0
1.609787202E1,4.132343669E1,1.976062178E1,1.022512093E2,1.426772729E2,0.000000000E0,NaN,3.526666146E-2,2.516503204E0,4.029364438E0,-1.000000000E0
1.709285009E1,4.132343669E1,1.976062178E1,1.022512093E2,1.426772729E2,0.000000000E0,NaN,3.526666339E-2,2.516521496E0,4.029364438E0,-1.000000000E0
1.809982216E1,4.132343669E1,1.976062178E1,1.022512093E2,1.426772729E2,0.000000000E0,NaN,3.526666526E-2,2.516540266E0,4.029364438E0,-1.000000000E0
1.909204328E1,4.132343669E1,1.976062178E1,1.022512093E2,1.426772729E2,0.000000000E0,NaN,3.526666719E-2,2.516558359E0,4.029364438E0,-1.000000000E0
2.009966636E1,4.132343669E1,1.976062178E1,1.022512093E2,1.426772729E2,0.000000000E0,NaN,3.526666907E-2,2.516577116E0,4.029364438E0,-1.000000000E0
2.109299278E1,4.132343669E1,1.976062178E1,1.022512093E2,1.426772729E2,0.000000000E0,NaN,3.526667097E-2,2.516595329E0,4.029364438E0,-1.000000000E0
