"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.612969398E-3,4.132332802E1,1.976058434E1,1.104843025E2,1.509097181E2,1.639999986E0,3.473437500E2,1.862482628E-3,1.170883446E1,3.000000000E0,-1.000000000E0
7.004976273E-3,4.132334407E1,1.976057796E1,1.125691251E2,1.529945710E2,1.639999986E0,3.473437500E2,1.731946662E-2,1.266876897E1,3.000000000E1,-1.000000000E0
6.017051935E0,4.132345680E1,1.976068625E1,1.125361074E2,1.529626066E2,NaN,NaN,1.731946662E-2,5.000000000E0,3.000000000E1,-1.000000000E0
1.202755892E1,4.132345680E1,1.976068625E1,1.125361074E2,1.529626066E2,NaN,NaN,1.731946662E-2,5.000000000E0,3.000000000E1,-1.000000000E0
1.284947136E1,4.132345680E1,1.976068625E1,1.112373490E2,1.516638482E2,NaN,NaN,2.189947445E-2,5.000000000E0,3.000000000E1,-1.000000000E0
1.284997335E1,4.132344165E1,1.976063525E1,1.107469605E2,1.511731182E2,NaN,NaN,2.647948320E-2,2.159501400E1,3.013947674E1,-1.000000000E0
1.285080436E1,4.132345680E1,1.976068625E1,1.112373490E2,1.516638482E2,NaN,NaN,2.647948320E-2,5.000000000E0,3.000000000E1,-1.000000000E0
1.289811936E1,4.132345680E1,1.976068625E1,1.111775307E2,1.516040299E2,NaN,NaN,4.078894686E-2,5.000000000E0,3.000026701E1,-1.000000000E0
1.499927047E1,4.132336160E1,1.976057096E1,1.060636482E2,1.464891272E2,1.379999995E0,2.003906250E2,4.333303344E-2,1.260372841E1,1.600000000E1,-1.000000000E0
1.524170545E1,4.132334152E1,1.976055634E1,1.062469978E2,1.466723148E2,1.379999995E0,2.003906250E2,4.354066859E-2,1.007641853E1,1.600000000E1,-1.000000000E0
1.526558285E1,4.132334316E1,1.976055754E1,1.109244225E2,1.513497527E2,1.292565478E-3,2.003906250E2,4.361115306E-2,1.029501400E1,3.000143884E1,-1.000000000E0
1.527050083E1,4.132334262E1,1.976055711E1,1.115731668E2,1.519984925E2,NaN,NaN,4.361116595E-2,1.025521606E1,3.000000000E1,-1.000000000E0
1.531184177E1,4.132334262E1,1.976055711E1,1.115732050E2,1.519985306E2,NaN,NaN,4.361116604E-2,1.025519585E1,3.000020396E1,-1.000000000E0
1.562917285E1,4.132334262E1,1.976055711E1,1.115731668E2,1.519984925E2,NaN,NaN,"",1.025519631E1,3.000000000E1,-1.000000000E0
