"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
4.292108334E-2,-6.259063721E0,-1.847429657E1,-4.300606537E1,4.722284586E1
5.285208333E-2,-6.149185181E0,-1.816263580E1,-4.277054596E1,4.687230973E1
6.278308334E-2,-6.214103699E0,-1.832849884E1,-4.277448273E1,4.694896513E1
7.271408333E-2,-5.972026825E0,-1.813852692E1,-4.286122131E1,4.692286815E1
8.264508334E-2,-6.123119354E0,-1.841574860E1,-4.308322906E1,4.725248156E1
9.257608333E-2,-6.238483429E0,-1.827612305E1,-4.305094147E1,4.718388401E1
1.025070833E-1,-6.206977844E0,-1.840555573E1,-4.333044434E1,4.748492879E1
1.124380833E-1,-5.918701172E0,-1.847454834E1,-4.301850128E1,4.719037415E1
1.223690833E-1,-5.978248596E0,-1.851378632E1,-4.358380890E1,4.772890255E1
1.323000833E-1,-6.089740753E0,-1.816950989E1,-4.349228668E1,4.752678227E1
1.422310833E-1,-6.076278687E0,-1.840422058E1,-4.346999359E1,4.759492453E1
1.521620833E-1,-6.100051880E0,-1.827928162E1,-4.322206879E1,4.732325009E1
1.620930833E-1,-6.224864960E0,-1.854308319E1,-4.328089142E1,4.749558337E1
1.720240833E-1,-6.311912537E0,-1.847708130E1,-4.327402496E1,4.747508831E1
1.819550833E-1,-6.479064941E0,-1.844364166E1,-4.325590515E1,4.746808961E1
1.918860833E-1,-6.434364319E0,-1.851752472E1,-4.307022095E1,4.732170431E1
2.018170833E-1,-6.322742462E0,-1.862763214E1,-4.283621979E1,4.713711358E1
2.117480833E-1,-6.140171051E0,-1.817138672E1,-4.286938477E1,4.696472236E1
2.216790833E-1,-6.430969238E0,-1.831958771E1,-4.321990204E1,4.738063519E1
2.316110833E-1,-6.252395630E0,-1.796789551E1,-4.308869171E1,4.710173111E1
2.415420833E-1,-6.669769287E0,-1.837922668E1,-4.303511810E1,4.726841637E1
2.514730833E-1,-6.478160858E0,-1.808859253E1,-4.293797302E1,4.704076185E1
2.614040833E-1,-6.406402588E0,-1.845914459E1,-4.291895294E1,4.715738049E1
2.713350833E-1,-6.194393158E0,-1.803781128E1,-4.273557281E1,4.679810174E1
