"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.339891668E-2,1.293830872E1,-1.573131561E1,-5.008173370E1,5.406527697E1
2.333091668E-2,1.303862762E1,-1.569812012E1,-4.993008423E1,5.393931865E1
3.326391667E-2,1.302493286E1,-1.573285675E1,-4.987418365E1,5.389439537E1
4.319591667E-2,1.297527313E1,-1.565266418E1,-5.017514038E1,5.413786402E1
5.312891667E-2,1.283093262E1,-1.581404114E1,-5.056632996E1,5.451303013E1
6.306091667E-2,1.256977844E1,-1.556977081E1,-5.078655243E1,5.458654597E1
7.299291667E-2,1.240805817E1,-1.583734131E1,-5.086094666E1,5.469567791E1
8.292591668E-2,1.235657501E1,-1.582108307E1,-5.069699097E1,5.452684209E1
9.285791668E-2,1.255854797E1,-1.568257141E1,-5.072409821E1,5.455817365E1
1.027909167E-1,1.267500305E1,-1.575505066E1,-5.050460052E1,5.440213229E1
1.127229167E-1,1.251678467E1,-1.595025635E1,-5.055830383E1,5.447221918E1
1.226559167E-1,1.249735260E1,-1.581188965E1,-5.044008636E1,5.431760294E1
1.325879167E-1,1.233063507E1,-1.580612183E1,-5.066435242E1,5.448627950E1
1.425209167E-1,1.232096100E1,-1.576927185E1,-5.021898651E1,5.405943600E1
1.524529167E-1,1.246221161E1,-1.570745850E1,-5.040334320E1,5.424507329E1
1.623849167E-1,1.257270050E1,-1.584562683E1,-5.039275360E1,5.430088676E1
1.723179167E-1,1.224372101E1,-1.569940186E1,-5.084252167E1,5.460166602E1
1.822499167E-1,1.228126526E1,-1.579577637E1,-5.051368713E1,5.433202201E1
1.921829167E-1,1.223365784E1,-1.576651764E1,-5.041471863E1,5.422074619E1
2.021149167E-1,1.242697906E1,-1.582831573E1,-5.041876221E1,5.428643449E1
2.120479167E-1,1.236748505E1,-1.593309784E1,-5.059626007E1,5.446833783E1
2.219799167E-1,1.233704376E1,-1.609988403E1,-5.065052032E1,5.456082957E1
2.319129167E-1,1.229988861E1,-1.579381561E1,-5.033462524E1,5.416923823E1
2.418449167E-1,1.230464172E1,-1.565505219E1,-5.049710083E1,5.428113907E1
2.517769167E-1,1.245209503E1,-1.573382568E1,-5.044143677E1,5.428578529E1
