"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.656791669E-3,2.897332764E1,-1.673607635E1,3.958667755E1,5.183295289E1
1.758879167E-2,2.929158783E1,-1.652469635E1,3.963946533E1,5.198413141E1
2.751979166E-2,3.033181763E1,-1.570044708E1,3.983188629E1,5.247001396E1
3.745179166E-2,3.085739899E1,-1.506167603E1,3.981043625E1,5.257284462E1
4.738379167E-2,2.965604401E1,-1.680854797E1,3.992333984E1,5.249648841E1
5.731479166E-2,2.941291046E1,-1.652928162E1,3.939835358E1,5.187067300E1
6.724679166E-2,3.127832794E1,-1.452735901E1,3.965990067E1,5.255745123E1
7.717779167E-2,3.141265106E1,-1.439157104E1,3.952142334E1,5.249585571E1
8.710979167E-2,2.998933411E1,-1.614680481E1,3.970307159E1,5.231073847E1
9.704179167E-2,2.922227478E1,-1.653157806E1,3.938227081E1,5.175130598E1
1.069727917E-1,3.091365051E1,-1.539284515E1,3.971498108E1,5.262958476E1
1.169047917E-1,3.107402802E1,-1.503984070E1,3.974568176E1,5.264514454E1
1.268367917E-1,2.983964539E1,-1.647097778E1,3.992729568E1,5.249653785E1
1.367677917E-1,2.885762024E1,-1.690640259E1,4.001351166E1,5.215045359E1
1.466997917E-1,3.075574493E1,-1.557751465E1,3.990282440E1,5.273338795E1
1.566307917E-1,3.138715363E1,-1.455120850E1,3.983999252E1,5.276472388E1
1.665627917E-1,3.138715363E1,-1.455120850E1,3.983999252E1,5.276472388E1
1.764947917E-1,2.924021912E1,-1.706547546E1,3.963890839E1,5.212930006E1
1.864257917E-1,3.033100891E1,-1.576729584E1,3.978309631E1,5.245257355E1
1.963577917E-1,3.110787964E1,-1.515060425E1,3.940752411E1,5.244229153E1
2.062897917E-1,3.044422913E1,-1.634327698E1,3.980676651E1,5.271178663E1
2.162207917E-1,2.891739655E1,-1.709256744E1,3.962659073E1,5.194842036E1
2.261527917E-1,2.991978455E1,-1.633211517E1,3.966014099E1,5.229587246E1
2.360837917E-1,3.074564362E1,-1.519711304E1,3.973531342E1,5.248944635E1
2.460157917E-1,3.021430969E1,-1.612925720E1,3.976869202E1,5.248434350E1
2.559477917E-1,2.894419098E1,-1.724864197E1,3.961837387E1,5.200862803E1
2.658787917E-1,2.943746948E1,-1.654306030E1,3.996518326E1,5.232067781E1
2.758107917E-1,3.063830566E1,-1.557427979E1,3.973151779E1,5.253434563E1
2.857427917E-1,3.031379700E1,-1.586734772E1,3.991715240E1,5.257450017E1
