"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.140166661E-3,1.194845581E1,3.134784698E1,-2.131014252E1,3.974387099E1
1.607116667E-2,1.176580048E1,3.132987976E1,-2.126686096E1,3.965192053E1
2.600116667E-2,1.181894684E1,3.130696106E1,-2.145723724E1,3.975206089E1
3.593116667E-2,1.175328064E1,3.143421555E1,-2.160213470E1,3.991117308E1
4.586116667E-2,1.188511658E1,3.140466309E1,-2.129488373E1,3.976155093E1
5.579216666E-2,1.179333496E1,3.125547028E1,-2.129319000E1,3.961549081E1
6.572216666E-2,1.221224976E1,3.133812714E1,-2.127271271E1,3.979630086E1
7.565216666E-2,1.179710388E1,3.162686539E1,-2.114196014E1,3.982979730E1
8.558216666E-2,1.217315674E1,3.166314316E1,-2.121006775E1,4.000759120E1
9.551316667E-2,1.185083008E1,3.138483810E1,-2.114495850E1,3.965551041E1
1.054431667E-1,1.198209381E1,3.124412918E1,-2.149600220E1,3.977240615E1
1.153731667E-1,1.175032043E1,3.116508865E1,-2.133798981E1,3.955556333E1
1.253041667E-1,1.220060730E1,3.113213730E1,-2.167394257E1,3.984751658E1
1.352341667E-1,1.202317810E1,3.121577454E1,-2.174595642E1,3.989822066E1
1.451641667E-1,1.212639618E1,3.120645905E1,-2.191432953E1,4.001412762E1
1.550941667E-1,1.204078674E1,3.101180649E1,-2.133330536E1,3.951990137E1
1.650251667E-1,1.214450073E1,3.107061768E1,-2.156372833E1,3.972236851E1
1.749551667E-1,1.171485901E1,3.101153564E1,-2.147138214E1,3.949650004E1
1.848851667E-1,1.196324158E1,3.099029922E1,-2.193322754E1,3.980683692E1
1.948151667E-1,1.179134369E1,3.076459122E1,-2.169142914E1,3.944634276E1
2.047461667E-1,1.185563660E1,3.066907883E1,-2.164475250E1,3.936551570E1
2.146761667E-1,1.194156647E1,3.071689987E1,-2.177525330E1,3.950051397E1
2.246061667E-1,1.233789062E1,3.094166946E1,-2.187459564E1,3.985107764E1
2.345371667E-1,1.221496582E1,3.088452530E1,-2.188237762E1,3.977307812E1
2.444671667E-1,1.228748322E1,3.101519394E1,-2.175487518E1,3.982711505E1
2.543971667E-1,1.222521210E1,3.088283539E1,-2.160970306E1,3.962555487E1
2.643271667E-1,1.258340454E1,3.080519104E1,-2.185640717E1,3.981211372E1
2.742581667E-1,1.257509613E1,3.086070251E1,-2.194190979E1,3.989941613E1
2.841881667E-1,1.254490662E1,3.064237595E1,-2.230621338E1,3.992364013E1
2.941181667E-1,1.243092346E1,3.072360992E1,-2.184138489E1,3.969274693E1
3.040481667E-1,1.266866302E1,3.061726761E1,-2.173564911E1,3.962764869E1
3.139791667E-1,1.222962952E1,3.062702942E1,-2.173105621E1,3.949452586E1
3.239091667E-1,1.248300171E1,3.052368164E1,-2.201578522E1,3.965116986E1
3.338386667E-1,1.244162750E1,3.057429504E1,-2.173776245E1,3.952356169E1
3.437686667E-1,1.239794922E1,3.040885925E1,-2.200655365E1,3.953095331E1
3.536996667E-1,1.209793091E1,3.053722763E1,-2.174009705E1,3.938926279E1
3.636296667E-1,1.231960297E1,3.052164841E1,-2.177101898E1,3.946290545E1
3.735596667E-1,1.226891327E1,3.047802353E1,-2.170876312E1,3.937901151E1
3.834906667E-1,1.228157043E1,3.057756424E1,-2.200527191E1,3.962393720E1
3.934206667E-1,1.215626526E1,3.064062881E1,-2.182619476E1,3.953486685E1
4.033506667E-1,1.239076996E1,3.030330658E1,-2.192590332E1,3.940262436E1
